input_pdf,output_pdf,page_index,x1,y1,x2,y2
./assets/hustlogodesign.pdf,./assets/logo/01.pdf,0,70.86,111.56,172.97,264.71
./assets/hustlogodesign.pdf,./assets/logo/logo_whiteborder.pdf,0,214.85,111.56,319.14,264.71
./assets/hustlogodesign.pdf,./assets/logo/16.pdf,2,166.25,260.61,347.71,296.40
./assets/hustlogodesign.pdf,./assets/logo/logo_blw1.pdf,0,493.25,111.56,595.46,264.71
./assets/hustlogodesign.pdf,./assets/logo/logo_blw2.pdf,0,633.65,111.56,735.71,264.65
./assets/hustlogodesign.pdf,./assets/logo/02.pdf,1,114.12,111.56,425.50,158.06
./assets/hustlogodesign.pdf,./assets/logo/04.pdf,1,521.52,112.64,676.47,159.12
./assets/hustlogodesign.pdf,./assets/logo/03.pdf,1,114.12,183.31,292.45,229.81
./assets/hustlogodesign.pdf,./assets/logo/06.pdf,1,521.35,183.81,758.75,230.29
./assets/hustlogodesign.pdf,./assets/logo/05.pdf,1,93.88,253.82,309.32,343.76
./assets/hustlogodesign.pdf,./assets/logo/07.pdf,1,555.49,253.83,662.37,357.73
./assets/hustlogodesign.pdf,./assets/logo/09.pdf,1,150.77,382.65,252.44,467.10
./assets/hustlogodesign.pdf,./assets/logo/08.pdf,1,538.43,382.65,679.46,465.90
./assets/hustlogodesign.pdf,./assets/logo/11.pdf,1,109.47,499.79,293.73,576.74
./assets/hustlogodesign.pdf,./assets/logo/10.pdf,1,500.07,499.79,717.82,567.38
./assets/hustlogodesign.pdf,./assets/logo/12.pdf,2,166.25,139.91,354.03,213.09
./assets/hustlogodesign.pdf,./assets/logo/15.pdf,2,166.25,260.61,563.04,296.40
./assets/hustlogodesign.pdf,./assets/logo/14.pdf,2,166.25,361.05,347.71,414.38
./assets/hustlogodesign.pdf,./assets/logo/13.pdf,2,166.25,464.75,347.71,529.31
./assets/hustlogodesign_departments.pdf,./assets/logo/soict_vi_h.pdf,2,36.82,134.00,260.00,181.96
./assets/hustlogodesign_departments.pdf,./assets/logo/soict_en_h.pdf,2,36.85,190.44,313.64,238.36
./assets/hustlogodesign_departments.pdf,./assets/logo/soict_vi_v.pdf,2,87.56,246.88,262.60,351.90
./assets/hustlogodesign_departments.pdf,./assets/logo/soict_en_v.pdf,2,60.80,363.18,289.96,470.00
./assets/hustlogodesign_departments.pdf,./assets/logo/soict_en_h_short.pdf,2,74.06,481.50,276.76,529.43
./assets/hustlogodesign_y70_color.pdf,./assets/logo/hustlogo_y70.pdf,0,250.00,250.00,1250.00,1250.00
# ./assets/hustlogodesign.pdf,./assets/logo/16_old.pdf,0,70.86,469.61,354.35,525.10
